"saledate","avg_sales_trend"
"2016-08-15","301160.3"
"2016-05-25","301525.2"
"2016-06-09","301788.4"
"2016-04-15","301930.4"
"2016-06-17","301972.9"
"2015-04-18","302500.0"
"2015-01-02","302701.1"
"2015-06-12","302728.5"
"2016-10-14","302752.9"
"2016-03-01","303103.0"
"2014-07-11","303177.7"
"2016-01-20","303366.3"
"2013-03-16","303675.0"
"2014-04-24","304046.8"
"2013-02-27","304089.0"
"2015-06-23","304089.6"
"2015-12-29","304423.1"
"2013-10-28","304581.7"
"2016-05-23","304816.0"
"2015-05-26","305229.8"
"2015-06-30","305444.9"
"2015-02-17","305525.0"
"2015-07-08","305552.2"
"2016-09-01","305893.2"
"2015-07-10","306164.9"
"2016-01-29","306554.9"
"2016-04-01","306633.7"
"2016-10-24","306676.3"
"2014-06-09","307310.4"
"2015-06-11","307493.6"
"2014-01-13","307647.6"
"2016-05-19","307795.1"
"2014-12-02","308161.4"
"2015-08-10","308546.5"
"2016-06-20","308741.2"
"2016-07-06","308839.9"
"2016-10-07","308916.3"
"2014-08-07","308935.1"
"2014-10-29","308967.0"
"2013-02-14","309017.3"
"2015-11-04","309663.1"
"2015-07-20","309853.0"
"2016-05-12","310414.4"
"2016-02-12","311553.7"
"2016-07-16","312000.0"
"2016-10-28","312380.4"
"2015-01-15","314417.2"
"2013-09-18","314480.0"
"2016-10-18","314782.1"
"2016-10-19","314858.5"
"2013-08-15","314911.8"
"2013-11-01","314916.6"
"2014-03-29","315000.0"
"2015-10-04","315000.0"
"2016-07-21","315462.3"
"2016-05-16","315592.8"
"2015-12-17","315940.8"
"2014-08-05","316362.0"
"2016-08-16","316424.1"
"2016-09-19","317088.5"
"2013-04-01","317138.4"
"2015-11-12","317206.1"
"2013-06-25","317217.1"
"2013-07-01","317550.4"
"2015-01-21","317867.4"
"2015-04-03","318062.0"
"2016-03-14","318352.1"
"2015-04-30","319384.8"
"2016-06-16","319476.5"
"2016-09-20","319623.0"
"2015-08-20","320115.5"
"2014-05-01","320275.9"
"2016-09-08","320340.7"
"2015-07-03","320350.0"
"2016-05-06","321935.1"
"2014-10-30","321976.5"
"2016-06-27","321991.7"
"2016-07-14","322091.6"
"2016-06-14","322113.3"
"2015-06-08","323740.5"
"2016-03-04","324605.1"
"2014-08-24","325000.0"
"2015-08-25","325299.0"
"2016-06-07","325508.7"
"2016-06-28","326141.1"
"2013-01-22","327288.0"
"2013-06-17","327334.7"
"2016-05-18","327393.9"
"2016-05-31","327694.8"
"2014-03-25","327855.5"
"2015-05-14","327996.8"
"2013-12-02","328112.8"
"2014-05-20","328176.2"
"2015-05-15","328392.4"
"2015-08-05","328738.5"
"2016-04-29","328871.7"
"2013-09-03","328973.0"
"2016-04-18","329960.5"
"2016-06-04","330000.0"
"2015-02-25","330341.1"
"2016-01-07","330424.7"
"2014-05-30","330973.4"
"2015-06-18","331458.5"
"2016-09-22","331939.6"
"2013-08-01","332105.7"
"2016-06-15","332787.9"
"2016-06-22","332917.5"
"2015-01-28","332934.4"
"2013-07-05","333218.1"
"2015-07-01","333250.8"
"2016-01-22","333643.3"
